	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
sky	1	0	0	0	0	0	0	0	0	0
clear	1	0	0	0	0	0	0	0	0	0
star	1	0	0	0	0	0	0	0	0	0
twinkl	1	0	0	0	0	0	0	0	0	0
never	0	1	1	0	0	0	0	0	0	0
asia	0	1	0	0	0	0	0	0	0	0
visit	0	1	0	0	0	0	0	0	0	0
africa	0	1	0	0	0	0	0	0	0	0
home	0	0	1	0	0	0	0	0	0	0
sundai	0	0	1	0	0	0	0	0	0	0
proud	0	0	0	1	0	0	0	0	0	0
nicknam	0	0	0	2	0	0	0	0	0	0
throughout	0	0	0	1	0	0	0	0	0	0
high	0	0	0	1	0	0	0	0	0	0
school	0	0	0	1	0	0	0	0	0	0
todai	0	0	0	1	0	0	0	0	0	0
couldnt	0	0	0	1	0	0	0	0	0	0
differ	0	0	0	1	0	0	0	0	0	0
glitter	0	0	0	0	1	0	0	0	0	0
gem	0	0	0	0	1	0	0	0	0	0
enough	0	0	0	0	1	0	0	0	0	0
memori	0	0	0	0	0	1	0	0	0	0
us	0	0	0	0	0	1	0	0	0	0
share	0	0	0	0	0	1	0	0	0	0
longer	0	0	0	0	0	1	0	0	0	0
coher	0	0	0	0	0	1	0	0	0	0
person	0	0	0	0	0	0	1	0	0	0
think	0	0	0	0	0	0	1	0	0	0
discov	0	0	0	0	0	0	1	0	0	0
cow	0	0	0	0	0	0	1	0	0	0
milk	0	0	0	0	0	0	1	0	0	0
fine	0	0	0	0	0	0	1	0	0	0
human	0	0	0	0	0	0	1	0	0	0
consumpt	0	0	0	0	0	0	1	0	0	0
first	0	0	0	0	0	0	1	0	0	0
place	0	0	0	0	0	0	1	0	0	0
ic	0	0	0	0	0	0	0	1	0	0
cream	0	0	0	0	0	0	0	1	0	0
freezer	0	0	0	0	0	0	0	1	0	0
monei	0	0	0	0	0	0	0	1	0	0
go	0	0	0	0	0	0	0	1	0	0
store	0	0	0	0	0	0	0	1	0	0
white	0	0	0	0	0	0	0	0	1	0
condit	0	0	0	0	0	0	0	0	1	0
town	0	0	0	0	0	0	0	0	1	0
subsequ	0	0	0	0	0	0	0	0	1	0
road	0	0	0	0	0	0	0	0	1	0
impass	0	0	0	0	0	0	0	0	1	0
random	0	0	0	0	0	0	0	0	0	1
thought	0	0	0	0	0	0	0	0	0	1
come	0	0	0	0	0	0	0	0	0	1
